State,Bush,Gore,Nader,Buchanan,Browne,Phillips,Hagelin,Other
Alabama,941173,692611,18323,6351,5893,775,447,699
Alaska,167398,79004,28747,5192,2636,596,919,1068
Arizona,781652,685341,45645,12373,0,110,1120,5775
Arkansas,472940,422768,13421,7358,2781,1415,1098,0
California,4567429,5861203,418707,44987,45520,17042,10934,34
Colorado,883748,738227,91434,10465,12799,1319,2240,1136
Connecticut,561094,816015,64452,4731,3484,9695,40,14
Delaware,137288,180068,8307,777,774,208,107,93
District of Columbia ,18073,171923,10576,0,669,0,0,653
Florida,2912790,2912253,97488,17484,16415,1371,2281,3028
Georgia,1419720,1116230,13432,10926,36332,140,0,24
Hawaii,137845,205286,21623,1071,1477,343,306,0
Idaho,336937,138637,12292,7615,3488,1469,1177,6
Illinois,2019421,2589026,103759,16106,11623,57,2127,4
Indiana,1245836,901980,18531,16959,15530,200,167,99
Iowa,634373,638517,29374,5731,3209,613,2281,1465
Kansas,622332,399276,36086,7370,4525,1254,1375,0
Kentucky,872492,638898,23192,4173,2896,923,1533,80
Louisiana,927871,792344,20473,14356,2951,5483,1075,1103
Maine,286616,319951,37127,4443,3074,579,0,27
Maryland,813797,1145782,53768,4248,5310,919,176,1480
Massachusetts,878502,1616487,173564,11149,16366,0,2884,4032
Michigan,1953139,2170418,84165,1851,16711,3791,2426,0
Minnesota,1109659,1168266,126696,22166,5282,3272,2294,1050
Mississippi,572844,404614,8122,2265,2009,3267,450,613
Missouri,1189924,1111138,38515,9818,7436,1957,1104,0
Montana,240178,137126,24437,5697,1718,1155,675,11
Nebraska,433862,231780,24540,3646,2245,468,478,0
Nevada,301575,279978,15008,4747,3311,621,415,3315
New Hampshire,273559,266348,22198,2615,2757,328,55,1221
New Jersey,1284173,1788850,94554,6989,6312,1409,2215,2724
New Mexico,286417,286783,21251,1392,2058,343,361,0
New York,2403374,4107697,244030,31599,7649,1498,24361,1791
North Carolina,1631163,1257692,0,8874,12307,0,0,1226
North Dakota,174852,95284,9486,7288,660,373,313,0
Ohio,2351209,2186190,117857,26724,13475,3823,6169,10
Oklahoma,744337,474276,0,9014,6602,0,0,0
Oregon,713577,720342,77357,7063,7447,2189,2574,3419
Pennsylvania,2281127,2485967,103392,16023,11248,14428,0,934
Rhode Island,130555,249508,25052,2273,742,97,271,614
South Carolina,785937,565561,20200,3519,4876,1682,942,0
South Dakota,190700,118804,0,3322,1662,1781,0,0
Tennessee,1061949,981720,19781,4250,4284,1015,613,2569
Texas,3799639,2433746,137994,12394,23160,567,0,137
Utah,515096,203053,35850,9319,3616,2709,763,348
Vermont,119775,149022,20374,2192,784,153,219,1789
Virginia,1437490,1217290,59398,5455,15198,1809,171,2636
Washington,1108864,1247652,103002,7171,13135,1989,2927,2693
West Virginia,336475,295497,10680,3169,1912,23,367,1
Wisconsin,1237279,1242987,94070,11471,6640,2042,853,3265
Wyoming,147947,60481,4625,2724,1443,720,411,0
