State,Population,Apportionment,Electoral Votes,Average Constituency,Relative Unfairness
Alabama,4779736,7,9,531081.7778,1.826778
Alaska,710231,1,3,236743.6667,0.26011
Arizona,6392017,9,11,581092.4545,2.092968
Arkansas,2915918,4,6,485986.3333,1.586749
California,37253956,53,55,677344.6545,2.605288
Colorado,5029196,7,9,558799.5556,1.97431
Connecticut,3574097,5,7,510585.2857,1.717681
Delaware,897934,1,3,299311.3333,0.593138
Florida,18801310,27,29,648321.0345,2.450804
Georgia,9687653,14,16,605478.3125,2.222766
Hawaii,1360301,2,4,340075.25,0.810111
Idaho,1567582,2,4,391895.5,1.085934
Illinois,12830632,18,20,641531.6,2.414666
Indiana,6483802,9,11,589436.5455,2.137381
Iowa,3046355,4,6,507725.8333,1.702461
Kansas,2853118,4,6,475519.6667,1.531038
Kentucky,4339367,6,8,542420.875,1.887132
Louisiana,4533372,6,8,566671.5,2.01621
Maine,1328361,2,4,332090.25,0.76761
Maryland,5773552,8,10,577355.2,2.073076
Massachusetts,6547629,9,11,595239,2.168266
Michigan,9883640,14,16,617727.5,2.287965
Minnesota,5303925,8,10,530392.5,1.823109
Mississippi,2967297,4,6,494549.5,1.632328
Missouri,5988927,8,10,598892.7,2.187713
Montana,989415,1,3,329805,0.755446
Nebraska,1826341,3,5,365268.2,0.944205
Nevada,2700551,4,6,450091.8333,1.395694
New Hampshire,1316470,2,4,329117.5,0.751787
New Jersey,8791894,12,14,627992.4286,2.342602
New Mexico,2059179,3,5,411835.8,1.19207
New York,19378102,27,29,668210.4138,2.556669
North Carolina,9535483,13,15,635698.8667,2.383621
North Dakota,672591,1,3,224197,0.193329
Ohio,11536504,16,18,640916.8889,2.411395
Oklahoma,3751351,5,7,535907.2857,1.852462
Oregon,3831074,5,7,547296.2857,1.913082
Pennsylvania,12702379,18,20,635118.95,2.380534
Rhode Island,1052567,2,4,263141.75,0.400619
South Carolina,4625364,7,9,513929.3333,1.735481
South Dakota,814180,1,3,271393.3333,0.444539
Tennessee,6346105,9,11,576918.6364,2.070752
Texas,25145561,36,38,661725.2895,2.522151
Utah,2763885,4,6,460647.5,1.451879
Vermont,625741,1,3,208580.3333,0.110206
Virginia,8001024,11,13,615463.3846,2.275914
Washington,6724540,10,12,560378.3333,1.982714
West Virginia,1852994,3,5,370598.8,0.972578
Wisconsin,5686986,8,10,568698.6,2.027
Wyoming,563626,1,3,187875.3333,0
